Thumbnail,Track Name,Author Time,Top Time,10k Time,Top Time % Difference,10k Time % Difference,Top Time Difference,10k Time Difference,Completed
https://core.trackmania.nadeo.live/storageObjects/5a69bd70-54d8-49f0-9df4-55e784d3200f.jpg,Summer 2024 - 1,23.923,22.297,22.803,4.68,6.8,1.1199999999999974,1.6259999999999977,False
https://core.trackmania.nadeo.live/storageObjects/c4ad4e8c-b482-4a45-b24b-54b99b207add.jpg,Summer 2024 - 2,29.1,26.576,27.831,4.36,8.67,1.269000000000002,2.524000000000001,False
https://core.trackmania.nadeo.live/storageObjects/422bb121-3be2-4c08-9f56-865e2a6dccab.jpg,Summer 2024 - 3,30.438,28.201,29.176,4.15,7.35,1.2620000000000005,2.2369999999999983,False
https://core.trackmania.nadeo.live/storageObjects/bdab9fc0-9261-40df-ac7e-cf86dfb99865.jpg,Summer 2024 - 4,31.507,28.611,29.976,4.86,9.19,1.5310000000000024,2.896000000000001,False
https://core.trackmania.nadeo.live/storageObjects/b05370af-2278-437f-a427-8c556f491002.jpg,Summer 2024 - 5,28.595,25.641,26.863,6.06,10.33,1.7319999999999993,2.9540000000000006,False
https://core.trackmania.nadeo.live/storageObjects/cb72929a-1643-4b95-bc43-80ae625768ae.jpg,Summer 2024 - 6,31.524,29.763,31.101,1.34,5.59,0.4230000000000018,1.7609999999999992,False
https://core.trackmania.nadeo.live/storageObjects/ff411329-0a19-454c-8c2d-bcc2164af97c.jpg,Summer 2024 - 7,27.744,24.851,27.197,1.97,10.43,0.5470000000000006,2.8930000000000007,False
https://core.trackmania.nadeo.live/storageObjects/415a265e-2e19-42e3-99b8-086dcf017e5f.jpg,Summer 2024 - 8,28.808,26.126,27.491,4.57,9.31,1.3170000000000002,2.6819999999999986,False
https://core.trackmania.nadeo.live/storageObjects/af93b52e-db93-4606-84e9-1c29bf12473a.jpg,Summer 2024 - 9,34.789,31.678,33.702,3.12,8.94,1.0870000000000033,3.1110000000000007,False
https://core.trackmania.nadeo.live/storageObjects/cec06b20-7d04-4954-9ae0-efb6514c5716.jpg,Summer 2024 - 10,29.0,26.677,28.217,2.7,8.01,0.7830000000000013,2.3230000000000004,False
https://core.trackmania.nadeo.live/storageObjects/019d6997-ceb8-4bee-86ea-89c50ad26697.jpg,Summer 2024 - 11,42.221,38.493,41.567,1.55,8.83,0.6539999999999964,3.7279999999999944,False
https://core.trackmania.nadeo.live/storageObjects/21985982-057c-473b-911c-df5c32264b75.jpg,Summer 2024 - 12,36.511,34.321,36.322,0.52,6.0,0.18900000000000006,2.190000000000005,False
https://core.trackmania.nadeo.live/storageObjects/09475870-0b8a-4d0f-9f51-b7375023a0cd.jpg,Summer 2024 - 13,40.465,39.035,40.398,0.17,3.53,0.06700000000000017,1.4300000000000068,False
https://core.trackmania.nadeo.live/storageObjects/0769fc07-44e1-44c6-9801-df914d989f95.jpg,Summer 2024 - 14,55.321,51.326,55.008,0.57,7.22,0.3129999999999953,3.9949999999999974,False
https://core.trackmania.nadeo.live/storageObjects/5c1bb461-849b-425e-a27f-7eefc356c004.jpg,Summer 2024 - 15,37.224,34.374,37.531,-0.82,7.66,-0.30700000000000216,2.8499999999999943,False
https://core.trackmania.nadeo.live/storageObjects/8f7c9cdf-77ec-4363-b358-aeb5bf04f9f0.jpg,Summer 2024 - 16,49.322,46.038,49.311,0.02,6.66,0.011000000000002785,3.284000000000006,False
https://core.trackmania.nadeo.live/storageObjects/7b730dfd-9501-44da-ab78-b578fea92ec9.jpg,Summer 2024 - 17,48.718,46.618,49.178,-0.94,4.31,-0.45999999999999375,2.1000000000000014,False
https://core.trackmania.nadeo.live/storageObjects/13b6029a-27df-4fd0-9c42-5874c43bfa8e.jpg,Summer 2024 - 18,46.002,43.745,48.072,-4.5,4.91,-2.0700000000000003,2.257000000000005,False
https://core.trackmania.nadeo.live/storageObjects/a6d944da-9831-47f3-9eb4-3000e0ccee82.jpg,Summer 2024 - 19,46.503,44.608,48.372,-4.02,4.08,-1.8689999999999998,1.8950000000000031,False
https://core.trackmania.nadeo.live/storageObjects/ca429b82-bd2c-48a6-ad38-6ad0084a02aa.jpg,Summer 2024 - 20,51.617,46.48,53.225,-3.12,9.95,-1.608000000000004,5.1370000000000005,False
https://core.trackmania.nadeo.live/storageObjects/f558b19e-2de9-4d5a-9cf8-ebf0aceb7edc.jpg,Summer 2024 - 21,55.452,52.282,58.422,-5.36,5.72,-2.969999999999999,3.1700000000000017,False
https://core.trackmania.nadeo.live/storageObjects/9e5a1313-7cb6-4ac6-863a-5de538f1d506.jpg,Summer 2024 - 22,48.448,46.006,50.207,-3.63,5.04,-1.7590000000000003,2.442,False
https://core.trackmania.nadeo.live/storageObjects/b6f18ad8-cf0e-4ede-9fbb-2ef81d1868ef.jpg,Summer 2024 - 23,42.721,39.217,45.334,-6.12,8.2,-2.6130000000000067,3.503999999999998,False
https://core.trackmania.nadeo.live/storageObjects/6f6f0799-b1ed-46ca-ae48-5b7ead7cd7ac.jpg,Summer 2024 - 24,63.886,61.616,67.705,-5.98,3.55,-3.8189999999999955,2.270000000000003,False
https://core.trackmania.nadeo.live/storageObjects/3e01f65e-a3b5-42d8-bdfd-304479f69c6f.jpg,Summer 2024 - 25,70.347,66.932,81.574,-15.96,4.85,-11.227000000000004,3.414999999999992,False
https://core.trackmania.nadeo.live/storageObjects/ea9128eb-dabb-4b08-b9d1-37adb25b41b2.jpg,Spring 2024 - 1,29.089,25.618,26.762,8.0,11.93,2.326999999999998,3.471,False
https://core.trackmania.nadeo.live/storageObjects/861fc133-4776-4589-b7ed-b5dd4a3a068a.jpg,Spring 2024 - 2,36.744,33.358,34.598,5.84,9.22,2.146000000000001,3.386000000000003,False
https://core.trackmania.nadeo.live/storageObjects/fa130d94-b16a-4921-816d-85629b07ce76.jpg,Spring 2024 - 3,32.144,27.365,28.673,10.8,14.87,3.471,4.779,False
https://core.trackmania.nadeo.live/storageObjects/4d3ea1d1-ed96-4307-863f-baefdc9b4ddd.jpg,Spring 2024 - 4,28.344,25.254,26.568,6.27,10.9,1.7759999999999998,3.09,False
https://core.trackmania.nadeo.live/storageObjects/cd0d9a62-6eb4-4dcc-87c6-33fee1a8c529.jpg,Spring 2024 - 5,32.922,29.388,30.291,7.99,10.73,2.6309999999999967,3.5339999999999954,False
https://core.trackmania.nadeo.live/storageObjects/a51a5a28-3a77-46db-979c-c318d6b6643f.jpg,Spring 2024 - 6,29.411,27.453,27.973,4.89,6.66,1.4380000000000024,1.958000000000002,False
https://core.trackmania.nadeo.live/storageObjects/80df6044-d294-4117-a7c4-78f89640173d.jpg,Spring 2024 - 7,35.732,33.438,34.552,3.3,6.42,1.1799999999999997,2.293999999999997,False
https://core.trackmania.nadeo.live/storageObjects/ca61a94b-e8f3-42dd-912e-bf83eff96926.jpg,Spring 2024 - 8,29.279,26.173,27.487,6.12,10.61,1.7920000000000016,3.1060000000000016,False
https://core.trackmania.nadeo.live/storageObjects/2d43e915-4d9c-4137-8801-18edae086db6.jpg,Spring 2024 - 9,32.663,29.436,31.166,4.58,9.88,1.4969999999999963,3.2269999999999968,False
https://core.trackmania.nadeo.live/storageObjects/dc18ff36-e67f-4cdf-8779-1cc949b0aa02.jpg,Spring 2024 - 10,37.878,32.872,35.688,5.78,13.22,2.1899999999999977,5.006,False
https://core.trackmania.nadeo.live/storageObjects/d0a35571-9810-4edd-a9e1-25b2bba7aaba.jpg,Spring 2024 - 11,37.172,32.336,36.175,2.68,13.01,0.9969999999999999,4.8359999999999985,False
https://core.trackmania.nadeo.live/storageObjects/db869f5c-99bf-4807-86b3-2039ba99b88c.jpg,Spring 2024 - 12,41.838,39.167,41.366,1.13,6.38,0.4720000000000013,2.6709999999999994,False
https://core.trackmania.nadeo.live/storageObjects/023b5ff1-beef-4d0f-97e5-c68105b08670.jpg,Spring 2024 - 13,37.291,32.825,36.414,2.35,11.98,0.8769999999999953,4.465999999999994,False
https://core.trackmania.nadeo.live/storageObjects/1192b7d8-c0d8-48f5-abaf-c40dcdffea67.jpg,Spring 2024 - 14,43.988,40.595,43.152,1.9,7.71,0.8359999999999985,3.3930000000000007,False
https://core.trackmania.nadeo.live/storageObjects/e12399b3-82fe-4b8f-9660-e6eeb023bd6a.jpg,Spring 2024 - 15,46.655,43.778,46.39,0.57,6.17,0.26500000000000057,2.8770000000000024,False
https://core.trackmania.nadeo.live/storageObjects/a8e7807a-a6f7-4979-a532-5274bb6e9824.jpg,Spring 2024 - 16,44.978,41.538,44.556,0.94,7.65,0.42200000000000415,3.440000000000005,False
https://core.trackmania.nadeo.live/storageObjects/3164fb4f-a9d6-41de-936f-15f6528a858c.jpg,Spring 2024 - 17,50.224,46.544,50.14,0.17,7.33,0.08399999999999608,3.6799999999999997,False
https://core.trackmania.nadeo.live/storageObjects/2a56e656-0d02-48c4-a0ec-412466f6110b.jpg,Spring 2024 - 18,50.251,47.148,50.107,0.29,6.18,0.14399999999999835,3.1029999999999944,False
https://core.trackmania.nadeo.live/storageObjects/04b1750b-b671-492a-b99c-5cb137f0971d.jpg,Spring 2024 - 19,35.814,30.428,35.49,0.9,15.04,0.32399999999999807,5.385999999999999,False
https://core.trackmania.nadeo.live/storageObjects/4eaa1df0-fb87-4cd6-9e09-20f937151582.jpg,Spring 2024 - 20,39.275,32.756,38.342,2.38,16.6,0.9329999999999998,6.518999999999998,False
https://core.trackmania.nadeo.live/storageObjects/ea5c1710-e692-4aa7-b6d4-854fab3fbe0c.jpg,Spring 2024 - 21,53.318,48.986,53.302,0.03,8.12,0.015999999999998238,4.332000000000001,False
https://core.trackmania.nadeo.live/storageObjects/65b1b4af-cf43-4360-ba4b-bf6ee1852820.jpg,Spring 2024 - 22,60.706,57.964,60.634,0.12,4.52,0.07200000000000273,2.7420000000000044,False
